Date,Name,Year,Letterboxd URI,Rating
2013-09-06,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,5
2013-09-06,Alien,1979,https://boxd.it/2awY,5
2013-09-06,Aliens,1986,https://boxd.it/29PA,5
2013-09-06,Prometheus,2012,https://boxd.it/2s9e,4
2013-09-06,Rear Window,1954,https://boxd.it/2a6Q,5
2013-09-06,Vertigo,1958,https://boxd.it/2apI,5
2013-09-06,Jaws,1975,https://boxd.it/2a5e,5
2014-01-15,American Hustle,2013,https://boxd.it/5dz8,4.5
2014-01-15,Gravity,2013,https://boxd.it/GZY,4.5
2014-01-15,Pulse,2006,https://boxd.it/1Y44,1
2014-01-15,Frozen,2013,https://boxd.it/3GNa,3.5
2014-01-15,Space Battleship Yamato 2199,2012,https://boxd.it/3VWG,5
2022-02-28,Deadpool 2,2018,https://boxd.it/dlLM,4
2022-02-28,Deadpool,2016,https://boxd.it/9fOC,4
2022-02-28,The Tomorrow War,2021,https://boxd.it/lE78,1
2022-02-28,Midnight Special,2016,https://boxd.it/7dmi,2
2022-04-20,The Batman,2022,https://boxd.it/eDGs,3.5
2025-02-02,I Saw the TV Glow,2024,https://boxd.it/woVe,5
2025-02-19,The Substance,2024,https://boxd.it/zanS,4.5
2025-04-01,Logan Lucky,2017,https://boxd.it/dZrs,4
2025-04-01,Princess Mononoke,1997,https://boxd.it/2b4w,5
